gmTs,Match_No,Date,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Vote_Home,Vote_Draw,Vote_Away,Public_Pick,Is_Upset
250001,1,2024-08-03,LaLiga,Barcelona,Mallorca,1,0,H,82.0,14.9,3.1,H,0
250001,2,2024-08-11,LaLiga,Vallecano,Las Palmas,1,3,A,64.3,20.8,15.0,H,1
250001,3,2024-08-12,EPL,Leicester,Brighton,2,2,D,13.5,18.6,67.9,A,1
250001,4,2024-08-12,EPL,Fulham,Arsenal,1,1,D,9.6,16.4,74.0,A,1
250001,5,2024-08-12,LaLiga,Leganes,Sociedad,0,3,A,19.9,30.5,49.5,A,0
250001,6,2024-08-12,LaLiga,Ath Bilbao,Villarreal,2,0,H,48.7,26.4,25.0,H,0
250001,7,2024-08-12,LaLiga,Osasuna,Alaves,2,2,D,46.1,28.7,25.2,H,1
250001,8,2024-08-12,LaLiga,Ath Madrid,Sevilla,4,3,H,86.0,15.0,-1.0,H,0
250001,9,2024-08-12,EPL,Ipswich,Bournemouth,1,2,A,27.1,25.3,47.5,A,0
250001,10,2024-08-12,EPL,Tottenham,Chelsea,3,4,A,28.0,24.4,47.6,A,0
250001,11,2024-08-15,LaLiga,Ath Bilbao,Getafe,1,1,D,80.4,17.8,1.8,H,1
250001,12,2024-08-15,LaLiga,Betis,Girona,1,1,D,40.4,27.9,31.7,H,1
250001,13,2024-08-16,LaLiga,Las Palmas,Sevilla,2,2,D,34.2,29.4,36.4,A,1
250001,14,2024-08-16,EPL,Man United,Fulham,1,0,H,74.2,16.9,8.9,H,0
250002,1,2024-08-12,LaLiga,Ath Madrid,Sevilla,4,3,H,86.0,15.0,-1.0,H,0
250002,2,2024-08-12,EPL,Ipswich,Bournemouth,1,2,A,27.1,25.3,47.5,A,0
250002,3,2024-08-12,EPL,Tottenham,Chelsea,3,4,A,28.0,24.4,47.6,A,0
250002,4,2024-08-15,LaLiga,Ath Bilbao,Getafe,1,1,D,80.4,17.8,1.8,H,1
250002,5,2024-08-15,LaLiga,Betis,Girona,1,1,D,40.4,27.9,31.7,H,1
250002,6,2024-08-16,LaLiga,Las Palmas,Sevilla,2,2,D,34.2,29.4,36.4,A,1
250002,7,2024-08-16,EPL,Man United,Fulham,1,0,H,74.2,16.9,8.9,H,0
250002,8,2024-08-16,LaLiga,Celta,Alaves,2,1,H,47.3,29.6,23.1,H,0
250002,9,2024-08-17,EPL,Ipswich,Liverpool,0,2,A,-1.0,13.0,88.0,A,0
250002,10,2024-08-17,EPL,West Ham,Aston Villa,1,2,A,38.9,26.5,34.6,H,1
250002,11,2024-08-17,EPL,Nott'm Forest,Bournemouth,1,1,D,38.8,27.2,34.0,H,1
250002,12,2024-08-17,EPL,Newcastle,Southampton,1,0,H,87.5,13.6,-1.1,H,0
250002,13,2024-08-17,EPL,Everton,Brighton,0,3,A,35.8,28.5,35.8,H,1
250002,14,2024-08-17,EPL,Arsenal,Wolves,2,0,H,88.0,9.5,2.5,H,0
250003,1,2024-08-16,LaLiga,Celta,Alaves,2,1,H,47.3,29.6,23.1,H,0
250003,2,2024-08-17,EPL,Ipswich,Liverpool,0,2,A,-1.0,13.0,88.0,A,0
250003,3,2024-08-17,EPL,West Ham,Aston Villa,1,2,A,38.9,26.5,34.6,H,1
250003,4,2024-08-17,EPL,Nott'm Forest,Bournemouth,1,1,D,38.8,27.2,34.0,H,1
250003,5,2024-08-17,EPL,Newcastle,Southampton,1,0,H,87.5,13.6,-1.1,H,0
250003,6,2024-08-17,EPL,Everton,Brighton,0,3,A,35.8,28.5,35.8,H,1
250003,7,2024-08-17,EPL,Arsenal,Wolves,2,0,H,88.0,9.5,2.5,H,0
