Match_ID,Date,Season,League,HomeTeam,AwayTeam,Elo_Home,Elo_Away,Elo_Diff,Elo_Exp_Home,Elo_Exp_Away,Rest_Days_Home,Rest_Days_Away,Rest_Days_Diff,Trap_Risk_Home,Trap_Risk_Away,Trap_Risk_Diff,Motivation_Home,Motivation_Away,Motivation_Diff,Is_Derby,Derby_Name,Tactics_Pressing_Home,Tactics_Pressing_Away,Tactics_Attack_Home,Tactics_Attack_Away,Tactics_Finishing_Home,Tactics_Finishing_Away,Tactics_Defense_Home,Tactics_Defense_Away,Tactics_SetPiece_Home,Tactics_SetPiece_Away,Counter_Advantage_Home,Counter_Advantage_Away,Counter_Advantage_Diff,Tactics_Clash_Pressing,Tactics_Clash_Attack_vs_Def,Tactics_Clash_Def_vs_Attack,Tactics_Clash_SetPiece,Games_Played_Home,Games_Played_Away,Season_Points_Home,Season_Points_Away,Home_L3_goals_scored_avg,Home_L3_goals_conceded_avg,Home_L3_points_avg,Home_L3_shots_avg,Home_L3_shots_target_avg,Home_L3_shots_conceded_avg,Home_L3_shots_target_conceded_avg,Home_L3_corners_avg,Home_L3_fouls_avg,Home_L3_win_rate,Home_L3_draw_rate,Home_L3_loss_rate,Home_L3_shot_accuracy,Home_L3_weighted_points,Home_L3_unbeaten_streak,Away_L3_goals_scored_avg,Away_L3_goals_conceded_avg,Away_L3_points_avg,Away_L3_shots_avg,Away_L3_shots_target_avg,Away_L3_shots_conceded_avg,Away_L3_shots_target_conceded_avg,Away_L3_corners_avg,Away_L3_fouls_avg,Away_L3_win_rate,Away_L3_draw_rate,Away_L3_loss_rate,Away_L3_shot_accuracy,Away_L3_weighted_points,Away_L3_unbeaten_streak,Home_L5_goals_scored_avg,Home_L5_goals_conceded_avg,Home_L5_points_avg,Home_L5_shots_avg,Home_L5_shots_target_avg,Home_L5_shots_conceded_avg,Home_L5_shots_target_conceded_avg,Home_L5_corners_avg,Home_L5_fouls_avg,Home_L5_win_rate,Home_L5_draw_rate,Home_L5_loss_rate,Home_L5_shot_accuracy,Home_L5_weighted_points,Home_L5_unbeaten_streak,Away_L5_goals_scored_avg,Away_L5_goals_conceded_avg,Away_L5_points_avg,Away_L5_shots_avg,Away_L5_shots_target_avg,Away_L5_shots_conceded_avg,Away_L5_shots_target_conceded_avg,Away_L5_corners_avg,Away_L5_fouls_avg,Away_L5_win_rate,Away_L5_draw_rate,Away_L5_loss_rate,Away_L5_shot_accuracy,Away_L5_weighted_points,Away_L5_unbeaten_streak,Home_L10_goals_scored_avg,Home_L10_goals_conceded_avg,Home_L10_points_avg,Home_L10_shots_avg,Home_L10_shots_target_avg,Home_L10_shots_conceded_avg,Home_L10_shots_target_conceded_avg,Home_L10_corners_avg,Home_L10_fouls_avg,Home_L10_win_rate,Home_L10_draw_rate,Home_L10_loss_rate,Home_L10_shot_accuracy,Home_L10_weighted_points,Home_L10_unbeaten_streak,Away_L10_goals_scored_avg,Away_L10_goals_conceded_avg,Away_L10_points_avg,Away_L10_shots_avg,Away_L10_shots_target_avg,Away_L10_shots_conceded_avg,Away_L10_shots_target_conceded_avg,Away_L10_corners_avg,Away_L10_fouls_avg,Away_L10_win_rate,Away_L10_draw_rate,Away_L10_loss_rate,Away_L10_shot_accuracy,Away_L10_weighted_points,Away_L10_unbeaten_streak,Home_AtHome_L5_goals_scored_avg,Home_AtHome_L5_goals_conceded_avg,Home_AtHome_L5_points_avg,Home_AtHome_L5_shots_avg,Home_AtHome_L5_shots_target_avg,Home_AtHome_L5_shots_conceded_avg,Home_AtHome_L5_shots_target_conceded_avg,Home_AtHome_L5_corners_avg,Home_AtHome_L5_fouls_avg,Home_AtHome_L5_win_rate,Home_AtHome_L5_draw_rate,Home_AtHome_L5_loss_rate,Home_AtHome_L5_shot_accuracy,Home_AtHome_L5_weighted_points,Home_AtHome_L5_unbeaten_streak,Away_AtAway_L5_goals_scored_avg,Away_AtAway_L5_goals_conceded_avg,Away_AtAway_L5_points_avg,Away_AtAway_L5_shots_avg,Away_AtAway_L5_shots_target_avg,Away_AtAway_L5_shots_conceded_avg,Away_AtAway_L5_shots_target_conceded_avg,Away_AtAway_L5_corners_avg,Away_AtAway_L5_fouls_avg,Away_AtAway_L5_win_rate,Away_AtAway_L5_draw_rate,Away_AtAway_L5_loss_rate,Away_AtAway_L5_shot_accuracy,Away_AtAway_L5_weighted_points,Away_AtAway_L5_unbeaten_streak,H2H_Home_Avg_Points,H2H_Home_Avg_GoalDiff,H2H_Count,Diff_L5_Points,Diff_L5_Weighted_Points,Diff_L5_Goals_Scored,Diff_L5_Goals_Conceded,Diff_L5_Shots_Target,B365H,B365D,B365A,FTHG,FTAG,FTR,Target
0,2020-01-10,2020-2021,LaLiga,Celta,Barcelona,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,5.75,4.2,1.53,0,3,A,2
1,2020-01-10,2020-2021,LaLiga,Ath Bilbao,Cadiz,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.53,3.8,6.5,0,1,A,2
2,2020-01-10,2020-2021,LaLiga,Sevilla,Levante,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.4,4.5,7.5,1,0,H,0
3,2020-01-11,2020-2021,LaLiga,Celta,Sociedad,1468.8955228943225,1500.0,33.89552289432254,0.5486254075904713,0.4513745924095287,1,10,-9,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,100.0,50.0,8.3,50.0,12.5,50.0,40.0,50.0,16.7,50.0,0.0,0.0,0.0,50.0,-41.7,-10.0,-33.3,1,0,0,0,0.0,3.0,0.0,10.0,3.0,6.0,3.0,3.0,22.0,0.0,0.0,1.0,0.2999997000003,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,3.0,0.0,10.0,3.0,6.0,3.0,3.0,22.0,0.0,0.0,1.0,0.2999997000003,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,3.0,0.0,10.0,3.0,6.0,3.0,3.0,22.0,0.0,0.0,1.0,0.2999997000003,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,3.0,0.0,10.0,3.0,6.0,3.0,3.0,22.0,0.0,0.0,1.0,0.2999997000003,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,-1.2,-1.2,-1.2,1.8,-1.0,3.0,3.2,2.45,1,4,A,2
4,2020-01-11,2020-2021,EPL,Man United,Arsenal,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.6,3.6,0,1,A,2
5,2020-01-11,2020-2021,LaLiga,Granada,Levante,1500.0,1487.77398691753,77.22601308246999,0.6093423515367814,0.3906576484632186,10,1,9,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,58.3,50.0,0.0,50.0,20.8,50.0,51.7,50.0,33.3,0.0,0.0,0.0,-1.7000000000000028,-1.7000000000000028,50.0,16.700000000000003,0,1,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,1.0,0.0,3.0,1.0,16.0,2.0,4.0,17.0,0.0,0.0,1.0,0.3333322222259259,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,1.0,0.0,3.0,1.0,16.0,2.0,4.0,17.0,0.0,0.0,1.0,0.3333322222259259,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,1.0,0.0,3.0,1.0,16.0,2.0,4.0,17.0,0.0,0.0,1.0,0.3333322222259259,0.0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,0.0,1.0,0.0,3.0,1.0,16.0,2.0,4.0,17.0,0.0,0.0,1.0,0.3333322222259259,0.0,0,1.2,0.0,0,1.2,1.2,1.2,0.19999999999999996,3.0,2.25,3.2,3.4,1,1,D,1
6,2020-01-11,2020-2021,LaLiga,Betis,Elche,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.45,4.33,7.5,3,1,H,0
7,2020-01-11,2020-2021,LaLiga,Valencia,Getafe,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,2.45,2,2,D,1
8,2020-01-11,2020-2021,EPL,Aston Villa,Southampton,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,2.45,3.5,2.8,3,4,A,2
9,2020-01-11,2020-2021,EPL,Tottenham,Brighton,1500.0,1500.0,65.0,0.5924662305843318,0.4075337694156682,10,10,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,None,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,1.2,1.2,11.0,4.0,11.0,4.0,4.5,10.0,0.35,0.3,0.35,0.35,1.2,0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.61,4.0,5.5,2,1,H,0
