Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,League
SP1,2020-09-12,Eibar,Celta,0,0,D,0,0,D,8,6,1,3,17,13,3,3,4,4,1,0,2.5,3.25,2.9,2020-2021,LaLiga
SP1,2020-09-12,Granada,Ath Bilbao,2,0,H,0,0,D,4,9,2,2,8,10,1,2,3,4,0,0,2.75,3.1,2.75,2020-2021,LaLiga
SP1,2020-09-12,Cadiz,Osasuna,0,2,A,0,1,A,12,6,3,4,14,21,6,2,2,2,0,0,2.8,3.0,2.75,2020-2021,LaLiga
SP1,2020-09-13,Alaves,Betis,0,1,A,0,0,D,7,11,2,4,19,17,6,4,3,3,0,0,2.8,3.2,2.6,2020-2021,LaLiga
SP1,2020-09-13,Valladolid,Sociedad,1,1,D,1,0,H,8,8,3,2,15,17,5,3,4,1,0,0,2.8,3.2,2.6,2020-2021,LaLiga
SP1,2020-09-13,Villarreal,Huesca,1,1,D,0,1,A,15,10,4,3,10,22,6,6,1,1,0,0,1.57,4.0,6.0,2020-2021,LaLiga
SP1,2020-09-13,Valencia,Levante,4,2,H,2,2,D,14,19,8,8,9,14,3,4,1,3,0,0,2.1,3.5,3.5,2020-2021,LaLiga
SP1,2020-09-19,Villarreal,Eibar,2,1,H,0,0,D,14,12,8,4,5,12,4,3,1,1,0,0,1.57,4.0,6.0,2020-2021,LaLiga
SP1,2020-09-19,Getafe,Osasuna,1,0,H,0,0,D,7,10,1,3,19,13,4,1,4,2,0,0,1.95,3.25,4.33,2020-2021,LaLiga
SP1,2020-09-19,Celta,Valencia,2,1,H,1,0,H,23,9,6,3,12,13,6,6,3,1,0,0,2.2,3.6,3.1,2020-2021,LaLiga
SP1,2020-09-20,Granada,Alaves,2,1,H,1,1,D,10,5,3,3,9,12,4,4,0,3,0,0,2.05,3.1,4.2,2020-2021,LaLiga
